FAMILIA,RESISTENCIA,TRAT.SUPERFICIAL,DIA,MES,ANO,PECA_EMPENADA/TORTA,MISTURA,OXIDACAO,TRAT.SUPERFICIAL.1,TRINCA,SEM_PROJECAO,SEM_SERRILHA,CABECA_DIMENSIONAL_MAIOR_QUE_ESPEC,CABECA_DIMENSIONAL_MENOR_QUE_ESPEC,DEFORMACAO_(BATIDA)_CABECA,REBARBA_CABECA,SEM_CHANFRO,CHANFRO_COMPRIMENTO_MAIOR_QUE_ESPEC,CHANFRO_COMPRIMENTO_MENOR_QUE_ESPEC,DEFORMACAO_(BATIDA)_CHANFRO,REBARBA_CHANFRO,CHAVE_ARREDONDADA,EXCESSO_TRATAMENTO_SUPERFICIAL_CHAVE,CHAVE_DIMENSIONAL_MAIOR_QUE_ESPEC,CHAVE_DIMENSIONAL_MENOR_ESPEC,DEFORMACAO_(BATIDA)_CHAVE,REBARBA_CHAVE,FLANGE_DIAMETRO_MAIOR_ESPEC,FLANGE_DIAMETRO_MENOR_QUE_ESPEC,DEFORMACAO_(BATIDA)_FLANGE,FALTA_MATERIAL_FLANGE,REBARBA_FLANGE,DEFORMACAO_(BATIDA)_CORPO,FALTA_MATERIAL_CORPO,SEM_PONTA,PONTA_COMPRIMENTO_MAIOR_QUE_ESPEC,PONTA_COMPRIMENTO_MENOR_QUE_ESPEC,DEFORMACAO_(BATIDA)_PONTA,REBARBA_PONTA,SEM_RECARTILHO,RECARTILHO_CURTO,RECARTILHO_COMPRIDO,DEFORMACAO_(BATIDA)_RECARTILHO,EXCESSO_TRATAMENTO_SUPERFICIAL_ROSCA,SEM_ROSCA,FALTA_DE_FILETES_DE_ROSCA,SOBRA_DE_FILETES_DE_ROSCA,ROSCA_SOBRE_O_CORPO,ROSCA_INCLINADA,DEFORMACAO_(BATIDA)_ROSCA,OBSTRUIDA/FECHADA,FALTA_DE_MATERIAL(ARRUELA),ARRUELA_MAIOR_QUE_A_ESPECIFICACAO,ARRUELA_MENOR_QUE_A_ESPECIFICACAO,SEM_ARRUELA,QTD._MENOR_QUE_O_ESPECIFICADO,QTD._MAIOR_QUE_O_ESPECIFICADO,ARRUELA_TROCADA,ARRUELA_DEFORMADA/BATIDA,TOTAL_DEFEITOS,USINA,QTD_SELECIONADA,MAQUINA,BITOLA,COMPRIMENTO,FAMILIA_ROT,RESISTENCIA_ROT,TRAT_SUPERFICIAL_ROT,USINA_ROT,MATERIA_PRIMA,MATERIA_PRIMA_ROT,MAQUINA_ROT,LOTE_COM_PROBLEMA,TIPO_DEFEITO
PARAF SEXT,4.6,ZA CR3,16,4,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BELGO,2950,CELULA18BF13B351,8.0,93.0,15,5,8,1,PC15,15,27,0,SEM_DEFEITO
PARAF FLANG,9.8,FOSF,16,4,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DUFERCO,10000,CELULA19 BF13B-4,8.0,30.0,7,11,4,2,10B33,7,28,0,SEM_DEFEITO
PARAF FLANG,8.8,ZA CR3,16,4,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DUFERCO,10000,CELULA39 SP38EL,12.0,75.0,7,10,8,2,10B33,7,46,0,SEM_DEFEITO
PARAF FLANG,10.9,ZNNI PRETO,16,4,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GERDAU SP,8036,CELULA25 BF13B4S,5.0,20.0,7,2,11,3,1030,5,34,0,SEM_DEFEITO
PARAF FLANG,9.8,FOSF,16,4,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DUFERCO,10332,CELULA19 BF13B-4,8.0,30.0,7,11,4,2,10B33,7,28,0,SEM_DEFEITO
PARAF FLANG,10.9,GEOMET,16,4,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DUFERCO,15119,CELULA 53 CD513,10.0,30.0,7,2,5,2,10B33,7,9,0,SEM_DEFEITO
PARAF 6 LOBE INT,10.9,GEOMET,16,4,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GERDAU SP,1154,CELULA26 SP27,8.0,50.0,2,2,5,3,5137,10,35,0,SEM_DEFEITO
PARAF FLANG,10.9,GEOMET,16,4,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DUFERCO,12964,CELULA 53 CD513,10.0,45.0,7,2,5,2,10B33,7,9,0,SEM_DEFEITO
PARAF FLANG,8.8,GEOMET,16,4,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GERDAU SP,41988,CELULA50 SP18,6.0,18.0,7,10,5,3,1022,4,50,0,SEM_DEFEITO
PARAF FLANG,8.8,ZA CR3,16,4,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DUFERCO,10000,CELULA39 SP38EL,12.0,75.0,7,10,8,2,10B33,7,46,0,SEM_DEFEITO
PARAF ALLEN,12.9,GEOMET,16,4,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GERDAU SP,3290,CELULA20 BF13B3S,8.0,40.0,3,4,5,3,DIN41,11,29,0,SEM_DEFEITO
PARAF ALLEN,12.9,GEOMET,16,4,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GERDAU SP,2153,CELULA20 BF13B3S,8.0,40.0,3,4,5,3,DIN41,11,29,0,SEM_DEFEITO
PARAF RECART,5.8,ZA CR3,16,4,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GERDAU SP,16207,CELULA 51 SP360L,8.0,87.6,14,8,8,3,1015,3,8,0,SEM_DEFEITO
PARAF FRANCES,8.8,ZINC CLEAR,16,4,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GERDAU SP,2738,CELULA12 CH2-LA,7.94,19.05,12,10,10,3,1022,4,21,0,SEM_DEFEITO
PARAF FLANG,8.8,ZA CR3,16,4,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DUFERCO,7500,CELULA39 SP38EL,12.0,75.0,7,10,8,2,10B33,7,46,0,SEM_DEFEITO
PARAF 6 LOBE INT,8.8,GEOMET,16,4,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GERDAU SP,4880,CELULA26 SP27,8.0,16.0,2,10,5,3,1022,4,35,0,SEM_DEFEITO
PARAF 6 LOBE INT,10.9,GEOMET,16,4,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DUFERCO,3540,CELULA22 BF19-4S,12.0,75.0,2,2,5,2,4140,9,31,0,SEM_DEFEITO
PARAF 6 LOBE EXT,10.9,GEOMET,16,4,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DUFERCO,16000,CELULA34 HBF425S,6.0,12.0,1,2,5,2,10B33,7,42,0,SEM_DEFEITO
PARAF RECART,10.9,ZB CR3,16,4,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GERDAU SP,64000,CELULA10 CH2-LA,6.0,16.0,14,2,9,3,5137,10,19,0,SEM_DEFEITO
PORCA FLANG,C8,GEOMET,16,4,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DUFERCO,14000,CP-01 BFNF11B,6.0,0.0,18,14,5,2,10B21,6,52,0,SEM_DEFEITO
PARAF FRANCES,8.8,GEOMET,16,4,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GERDAU SP,9826,CELULA04 CH2LA,8.0,55.0,12,10,5,3,1022,4,14,0,SEM_DEFEITO
PARAF SOLDA,5.8,POLIDO,16,4,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GERDAU SP,1800,CELULA09 CH4,10.0,35.0,16,8,7,3,1015,3,18,0,SEM_DEFEITO
PARAF SEXT,10.9,POLIDO,16,4,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BELGO,8400,CELULA 40 HBP518,14.0,40.0,15,2,7,1,PL30,18,2,0,SEM_DEFEITO
PARAF FLANG,10.9,ZNNI PRETO,16,4,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BELGO,3155,CELULA50 SP18,6.0,20.0,7,2,11,1,PL30,18,50,0,SEM_DEFEITO
PARAF FLANG,8.8,ZA CR3,16,4,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DUFERCO,2500,CELULA39 SP38EL,12.0,75.0,7,10,8,2,10B33,7,46,0,SEM_DEFEITO
PARAF SEXT,10.9,POLIDO,16,4,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BELGO,1600,CELULA 40 HBP518,14.0,40.0,15,2,7,1,PL30,18,2,0,SEM_DEFEITO
PORCA FLANG,C8,GEOMET,16,4,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DUFERCO,10100,CP-01 BFNF11B,6.0,0.0,18,14,5,2,10B21,6,52,0,SEM_DEFEITO
PARAF SEXT,8.8,ZNNI PRETO,16,4,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GERDAU SP,10000,CELULA32 SP37CR,12.0,75.0,15,10,11,3,5137,10,41,0,SEM_DEFEITO
PARAF FLANG,8.8,ZA CR3,16,4,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DUFERCO,10000,CELULA39 SP38EL,12.0,75.0,7,10,8,2,10B33,7,46,0,SEM_DEFEITO
PARAF SOLDA,5.8,POLIDO,16,4,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GERDAU SP,1845,CELULA09 CH4,10.0,35.0,16,8,7,3,1015,3,18,0,SEM_DEFEITO
PARAF SEXT,8.8,ZNNI PRETO,16,4,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GERDAU SP,9902,CELULA32 SP37CR,12.0,75.0,15,10,11,3,5137,10,41,0,SEM_DEFEITO
PARAF SEXT,10.9,POLIDO,16,4,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BELGO,13080,CELULA 40 HBP518,14.0,40.0,15,2,7,1,PL30,18,2,0,SEM_DEFEITO
PARAF RECART,10.9,ZB CR3,16,4,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GERDAU SP,35844,CELULA10 CH2-LA,6.0,16.0,14,2,9,3,5137,10,19,0,SEM_DEFEITO
PARAF FLANG,8.8,ZA CR3,16,4,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DUFERCO,10000,CELULA39 SP38EL,12.0,75.0,7,10,8,2,10B33,7,46,0,SEM_DEFEITO
PARAF 6 LOBE INT,10.9,ZB CR3,16,4,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GERDAU SP,40246,CELULA26 SP27,8.0,25.0,2,2,9,3,5137,10,35,0,SEM_DEFEITO
PARAF ALLEN,8.8,GEOMET,16,4,2025,0,1,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,DUFERCO,3405,CELULA20 BF13B3S,8.0,30.0,3,10,5,2,10B33,7,29,1,MISTURA
PARAF FLANG,10.9,ZNNI PRETO,16,4,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GERDAU SP,3153,CELULA25 BF13B4S,5.0,20.0,7,2,11,3,1030,5,34,0,SEM_DEFEITO
PARAF FLANG,8.8,ZA CR3,16,4,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DUFERCO,9909,CELULA39 SP38EL,12.0,75.0,7,10,8,2,10B33,7,46,0,SEM_DEFEITO
PARAF FLANG,R0,GEOMET,16,4,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DUFERCO,25000,CELULA 53 CD513,10.0,30.0,7,15,5,2,10B33,7,9,0,SEM_DEFEITO
PARAF FLANG,10.9,ZNNI PRETO,16,4,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GERDAU SP,1955,CELULA25 BF13B4S,5.0,45.0,7,2,11,3,1030,5,34,0,SEM_DEFEITO
PARAF FRANCES,8.8,GEOMET,16,4,2025,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,GERDAU SP,21113,CELULA04 CH2LA,8.0,55.0,12,10,5,3,1022,4,14,1,MISTURA
PARAF FLANG,8.8,ZNNI PRETO,16,4,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GERDAU SP,25000,CELULA30 SP27,8.0,35.0,7,10,11,3,5137,10,39,0,SEM_DEFEITO
PARAF FLANG,8.8,ZNNI PRETO,16,4,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GERDAU SP,11683,CELULA 42 SP38,8.0,100.0,7,10,11,3,5137,10,3,0,SEM_DEFEITO
REBITE,5.8,ZA CR3,16,4,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BELGO,13000,CELULA29 SP37,12.0,47.0,24,8,8,1,PC15,15,38,0,SEM_DEFEITO
PARAF 6 LOBE EXT,10.9,GEOMET,16,4,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DUFERCO,74435,CELULA34 HBF425S,6.0,12.0,1,2,5,2,10B33,7,42,0,SEM_DEFEITO
REBITE,5.8,ZA CR3,16,4,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BELGO,1200,CELULA29 SP37,12.0,47.0,24,8,8,1,PC15,15,38,0,SEM_DEFEITO
PARAF FLANG,10.9,GEOMET,16,4,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DUFERCO,5710,CELULA 42 SP38,8.0,45.0,7,2,5,2,10B33,7,3,0,SEM_DEFEITO
PARAF FLANG,R0,GEOMET,16,4,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DUFERCO,7000,CELULA 53 CD513,10.0,30.0,7,15,5,2,10B33,7,9,0,SEM_DEFEITO
PARAF FLANG,8.8,GEOMET,16,4,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GERDAU SP,6212,CELULA 45 SP28,6.0,30.0,7,10,5,3,1022,4,6,0,SEM_DEFEITO
PARAF FLANG,8.8,GEOMET,16,4,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GERDAU SP,500,CELULA25 BF13B4S,5.0,16.0,7,10,5,3,1030,5,34,0,SEM_DEFEITO
PARAF FLANG,8.8,ZNNI PRETO,16,4,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GERDAU SP,3000,CELULA30 SP27,8.0,35.0,7,10,11,3,5137,10,39,0,SEM_DEFEITO
PARAF ALLEN,8.8,GEOMET,16,4,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DUFERCO,3320,CELULA 42 SP38,8.0,35.0,3,10,5,2,10B33,7,3,0,SEM_DEFEITO
PORCA SEXT,C8,ZA CR3,16,4,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DUFERCO,15000,CP-04 BFNF14B,8.0,0.0,20,14,8,2,10B21,6,55,0,SEM_DEFEITO
PARAF SOLDA,10.9,POLIDO,16,4,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DUFERCO,1490,CELULA09 CH4,12.0,70.0,16,2,7,2,10B33,7,18,0,SEM_DEFEITO
PARAF FLANG,9.8,FOSF,17,4,2025,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,GERDAU SP,5059,CELULA30 SP27,8.0,50.0,7,11,4,3,5137,10,39,1,SEM_CHANFRO
PARAF SEXT,8.8,ZINC CLEAR,17,4,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DUFERCO,2171,CELULA09 CH4,11.11,82.55,15,10,10,2,10B33,7,18,0,SEM_DEFEITO
PARAF FLANG,9.8,FOSF,17,4,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GERDAU SP,3050,CELULA30 SP27,8.0,50.0,7,11,4,3,5137,10,39,0,SEM_DEFEITO
PARAF ALLEN,8.8,GEOMET,17,4,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DUFERCO,1580,CELULA 42 SP38,8.0,35.0,3,10,5,2,10B33,7,3,0,SEM_DEFEITO
PARAF 6 LOBE EXT,10.9,GEOMET,17,4,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DUFERCO,9657,CELULA34 HBF425S,6.0,12.0,1,2,5,2,10B33,7,42,0,SEM_DEFEITO
REBITE,5.8,ZA CR3,17,4,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BELGO,9576,CELULA29 SP37,12.0,47.0,24,8,8,1,PC15,15,38,0,SEM_DEFEITO
PARAF SEXT,12.9,GEOMET,17,4,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BELGO,2066,CELULA08 CH4,12.0,40.0,15,4,5,1,PL41,19,17,0,SEM_DEFEITO
PORCA SEXT,C8,ZA CR3,17,4,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DUFERCO,6762,CP-04 BFNF14B,8.0,0.0,20,14,8,2,10B21,6,55,0,SEM_DEFEITO
PARAF SOLDA,10.9,POLIDO,17,4,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DUFERCO,522,CELULA09 CH4,12.0,70.0,16,2,7,2,10B33,7,18,0,SEM_DEFEITO
PARAF FLANG,10.9,MICRO FOSF,17,4,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GERDAU SP,7815,CELULA30 SP27,8.0,45.0,7,2,6,3,5137,10,39,0,SEM_DEFEITO
PARAF FLANG,8.8,GEOMET,17,4,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GERDAU SP,2401,CELULA48 SP250,6.0,35.0,7,10,5,3,5137,10,48,0,SEM_DEFEITO
